asset,timeframe,strategy,direction,entry,sl,tp,grid_level,level_idx,size,risk,rr,entry_bar,entry_time,regime,range_pct,exit,exit_time,close_reason,pnl,pnl_pct,balance_after,drawdown_pct
INJ,15m,GRID_BOT,SELL,3.089,3.09593046,3.07369664,3.0907268,4,3324.6728836595025,23.04151243328674,3.273,31761,2026-03-14 04:15:00+00:00,RANGE,0.011442,3.09593046,2026-03-14 04:30:00+00:00,SL,-23.04151243328674,-0.22435933959210008,11497.714704210084,0.7716472682970428
INJ,15m,GRID_BOT,SELL,3.024,3.03157422,3.00940808,3.0263864,1,3036.0128710837917,22.99542940842017,3.273,31787,2026-03-14 10:45:00+00:00,RANGE,0.011578,3.03157422,2026-03-14 11:15:00+00:00,SL,-22.99542940842017,-0.25047023809523694,11474.719274801664,0.9701039737604474
INJ,15m,GRID_BOT,SELL,3.031,3.03985248,3.00967472,3.0327896,1,2597.625683245894,22.99542940842017,3.273,31783,2026-03-14 09:45:00+00:00,RANGE,0.017184,3.03985248,2026-03-14 11:30:00+00:00,SL,-22.99542940842017,-0.2920646651270151,11451.723845393244,1.168560679223852
INJ,15m,GRID_BOT,SELL,3.036,3.043113,3.022386,3.038262,4,3219.942034413993,22.90344769078649,3.273,31797,2026-03-14 13:15:00+00:00,RANGE,0.010635,3.022386,2026-03-14 15:15:00+00:00,TP,43.83629085651215,0.4484189723320163,11495.560136249756,0.7902417659908798
INJ,15m,GRID_BOT,SELL,3.029,3.0357401,3.0173584,3.031438,3,3411.0948313080553,22.991120272499515,3.273,31814,2026-03-14 17:30:00+00:00,RANGE,0.008958,3.0173584,2026-03-14 18:00:00+00:00,TP,39.710601588155576,0.3843380653681056,11535.270737837913,0.447528654477089
INJ,15m,GRID_BOT,SELL,3.027,3.034293,3.013566,3.029442,3,3140.4699973655843,22.90344769078649,3.273,31802,2026-03-14 14:30:00+00:00,RANGE,0.010635,3.013566,2026-03-14 20:00:00+00:00,TP,42.18907394460979,0.4438057482656151,11577.459811782523,0.08342566370912882
INJ,15m,GRID_BOT,SELL,3.022,3.0279181,3.0095364,3.023616,2,3898.3020691903225,23.070541475675824,3.273,31819,2026-03-14 18:45:00+00:00,RANGE,0.008958,3.0095364,2026-03-14 20:00:00+00:00,TP,48.58687766955971,0.4124288550628656,11626.046689452081,0.0
INJ,15m,GRID_BOT,SELL,3.019,3.02602112,3.00812728,3.0218332,3,3311.735646008798,23.252093378904164,3.273,31832,2026-03-14 22:00:00+00:00,RANGE,0.008652,3.02602112,2026-03-14 23:00:00+00:00,SL,-23.252093378904164,-0.23256442530638155,11602.794596073178,0.19999999999999632
INJ,15m,GRID_BOT,SELL,3.039,3.04693992,3.02526728,3.0418676,4,2922.6477334969823,23.205589192146356,3.273,31846,2026-03-15 01:30:00+00:00,RANGE,0.011292,3.04693992,2026-03-15 02:00:00+00:00,SL,-23.205589192146356,-0.26126752221124233,11579.589006881031,0.3995999999999964
INJ,15m,GRID_BOT,SELL,3.058,3.0696231,3.0314544,3.06069,3,1992.5130140635517,23.159178013762062,3.273,31859,2026-03-15 04:45:00+00:00,RANGE,0.022863,3.0696231,2026-03-15 05:15:00+00:00,SL,-23.159178013762062,-0.38008829300196195,11556.429828867269,0.5988007999999989
INJ,15m,GRID_BOT,SELL,3.045,3.05297736,3.02559704,3.0465692,1,2897.3068355614805,23.11285965773454,3.273,31866,2026-03-15 06:30:00+00:00,RANGE,0.015127,3.05297736,2026-03-15 07:45:00+00:00,SL,-23.11285965773454,-0.26198226600985003,11533.316969209534,0.7976031983999994
