2026-06-04 09:16:13.478 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 09:16:13.880 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 09:21:13.881 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #37 ---
2026-06-04 09:21:13.883 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 09:21:13.885 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 09:21:14.277 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 09:26:14.278 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #38 ---
2026-06-04 09:26:14.282 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 09:26:14.285 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 09:26:14.692 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 09:31:14.693 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #39 ---
2026-06-04 09:31:14.695 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 09:31:14.701 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 09:31:15.120 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 09:36:15.121 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #40 ---
2026-06-04 09:36:15.128 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 09:36:15.130 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 09:36:15.536 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 09:41:15.537 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #41 ---
2026-06-04 09:41:15.542 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 09:41:15.544 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 09:41:15.944 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 09:46:15.946 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #42 ---
2026-06-04 09:46:15.958 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 09:46:15.961 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 09:46:16.406 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 09:51:16.407 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #43 ---
2026-06-04 09:51:16.409 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 09:51:16.411 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 09:51:16.841 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 09:56:16.841 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #44 ---
2026-06-04 09:56:16.843 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 09:56:16.845 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 09:56:17.251 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 10:01:17.252 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #45 ---
2026-06-04 10:01:17.255 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 10:01:17.257 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 10:01:17.695 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 10:06:17.695 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #46 ---
2026-06-04 10:06:17.698 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 10:06:17.699 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 10:06:18.099 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 10:11:18.099 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #47 ---
2026-06-04 10:11:18.105 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 10:11:18.106 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 10:11:18.522 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 10:16:18.522 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #48 ---
2026-06-04 10:16:18.525 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 10:16:18.527 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 10:16:18.964 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 10:21:18.964 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #49 ---
2026-06-04 10:21:18.967 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
