2026-05-19 08:55:41.888 | INFO     | agents.options_agent:run_cycle:154 - OPTIONS CYCLE END | open=2 | [AY26-71000-P @0.0050BTC (-72%) | AY26-67000-P @0.0017BTC (+6%)] | balance=$1717.06 | PnL=$+1308.70 | margin=$1592
2026-05-19 08:55:41.891 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-05-19 09:00:41.891 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #2606 ---
2026-05-19 09:00:41.893 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-05-19 09:00:42.041 | WARNING  | strategies.theta_farming:_deribit_get:501 - Deribit API call failed [get_index_price]: 503 Server Error: Service Unavailable for url: https://www.deribit.com/api/v2/public/get_index_price?index_name=btc_usd
2026-05-19 09:00:42.044 | WARNING  | agents.options_agent:_monitor_open_positions:228 - MONITOR: sin precio BTC para BTC-29MAY26-71000-P
2026-05-19 09:00:42.044 | WARNING  | agents.options_agent:_monitor_open_positions:228 - MONITOR: sin precio BTC para BTC-29MAY26-67000-P
2026-05-19 09:00:42.204 | WARNING  | strategies.theta_farming:_deribit_get:501 - Deribit API call failed [get_order_book]: 503 Server Error: Service Unavailable for url: https://www.deribit.com/api/v2/public/get_order_book?instrument_name=BTC-29MAY26-71000-P&depth=1
2026-05-19 09:00:42.328 | WARNING  | strategies.theta_farming:_deribit_get:501 - Deribit API call failed [get_order_book]: 503 Server Error: Service Unavailable for url: https://www.deribit.com/api/v2/public/get_order_book?instrument_name=BTC-29MAY26-67000-P&depth=1
2026-05-19 09:00:42.331 | INFO     | agents.options_agent:run_cycle:154 - OPTIONS CYCLE END | open=2 | [AY26-71000-P (no mark) | AY26-67000-P (no mark)] | balance=$1717.06 | PnL=$+1308.70 | margin=$1592
2026-05-19 09:00:42.332 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-05-19 09:05:42.332 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #2607 ---
2026-05-19 09:05:42.336 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-05-19 09:05:42.484 | WARNING  | strategies.theta_farming:_deribit_get:501 - Deribit API call failed [get_index_price]: 503 Server Error: Service Unavailable for url: https://www.deribit.com/api/v2/public/get_index_price?index_name=btc_usd
